family,instance_name,parity,param_n,param_p,param_seed,param_trial,param_rows,param_cols,param_n_left,param_n_right,param_remove_fraction,n,m,density,lp_value,lp_runtime_sec,lp_num_fractional,lp_num_at_half,lp_is_integral,rounded_size,rounded_feasible,rounded_vs_lp_ratio,rounding_runtime_sec,greedy_size,greedy_feasible,greedy_runtime_sec,greedy_vs_lp_ratio,ilp_value,ilp_runtime_sec,rounded_vs_ilp_ratio,greedy_vs_ilp_ratio,integrality_gap
random,random_n24_p0.15_t2,,24.0,0.15,3435.0,2.0,,,,,,24,38,0.13768115942028986,11.0,0.012070589000359178,8,8,False,15,True,1.3636363636363635,7.290043868124485e-06,11,True,0.00031625700648874044,1.0,11.0,0.01768994505982846,1.3636363636363635,1.0,1.0
random,random_n24_p0.15_t1,,24.0,0.15,3425.0,1.0,,,,,,24,43,0.15579710144927536,12.0,0.013637745985761285,24,24,False,24,True,2.0,9.119976311922073e-06,12,True,0.0006662099622189999,1.0,12.0,0.018084289971739054,2.0,1.0,1.0
random,random_n24_p0.15_t0,,24.0,0.15,3415.0,0.0,,,,,,24,44,0.15942028985507245,12.0,0.012694008997641504,24,24,False,24,True,2.0,9.329989552497864e-06,14,True,0.00037490599788725376,1.1666666666666667,13.0,0.023568713921122253,1.8461538461538463,1.0769230769230769,1.0833333333333333
random,random_n24_p0.3_t0,,24.0,0.3,3430.0,0.0,,,,,,24,82,0.2971014492753623,12.0,0.014207586995325983,24,24,False,24,True,2.0,6.893998943269253e-06,17,True,0.00043748493772000074,1.4166666666666667,16.0,0.026512086973525584,1.5,1.0625,1.3333333333333333
random,random_n24_p0.3_t1,,24.0,0.3,3440.0,1.0,,,,,,24,87,0.31521739130434784,12.0,0.015059430967085063,24,24,False,24,True,2.0,1.3493001461029053e-05,16,True,0.0004797860747203231,1.3333333333333333,16.0,0.02210569498129189,1.5,1.0,1.3333333333333333
random,random_n24_p0.3_t2,,24.0,0.3,3450.0,2.0,,,,,,24,88,0.3188405797101449,12.0,0.013956264941953123,24,24,False,24,True,2.0,8.34302045404911e-06,17,True,0.0004861149936914444,1.4166666666666667,17.0,0.02332104998640716,1.411764705882353,1.0,1.4166666666666667
random,random_n24_p0.5_t0,,24.0,0.5,3450.0,0.0,,,,,,24,135,0.4891304347826087,12.0,0.017158461036160588,24,24,False,24,True,2.0,8.104951120913029e-06,19,True,0.000533131998963654,1.5833333333333333,18.0,0.034531575976870954,1.3333333333333333,1.0555555555555556,1.5
random,random_n24_p0.5_t1,,24.0,0.5,3460.0,1.0,,,,,,24,138,0.5,12.0,0.01753509498666972,24,24,False,24,True,2.0,8.817994967103004e-06,19,True,0.0006224550306797028,1.5833333333333333,18.0,0.030923755024559796,1.3333333333333333,1.0555555555555556,1.5
random,random_n24_p0.5_t2,,24.0,0.5,3470.0,2.0,,,,,,24,144,0.5217391304347826,12.0,0.015077142976224422,24,24,False,24,True,2.0,1.3342010788619518e-05,19,True,0.0005620960146188736,1.5833333333333333,19.0,0.0335360070457682,1.263157894736842,1.0,1.5833333333333333
random,random_n24_p0.8_t2,,24.0,0.8,3500.0,2.0,,,,,,24,216,0.782608695652174,12.0,0.018311455962248147,24,24,False,24,True,2.0,8.71298834681511e-06,21,True,0.0006675270851701498,1.75,20.0,0.06729460193309933,1.2,1.05,1.6666666666666667
random,random_n24_p0.8_t0,,24.0,0.8,3480.0,0.0,,,,,,24,222,0.8043478260869565,12.0,0.015807857969775796,24,24,False,24,True,2.0,1.0579009540379047e-05,20,True,0.0007225800072774291,1.6666666666666667,20.0,0.07370702095795423,1.2,1.0,1.6666666666666667
random,random_n24_p0.8_t1,,24.0,0.8,3490.0,1.0,,,,,,24,224,0.8115942028985508,12.0,0.017642998951487243,24,24,False,24,True,2.0,8.119037374854088e-06,21,True,0.0008743999060243368,1.75,21.0,0.07639145699795336,1.1428571428571428,1.0,1.75
random,random_n24_p0.9_t1,,24.0,0.9,3500.0,1.0,,,,,,24,246,0.8913043478260869,12.0,0.017764474032446742,24,24,False,24,True,2.0,9.390991181135178e-06,21,True,0.001538367010653019,1.75,21.0,0.12399247696157545,1.1428571428571428,1.0,1.75
random,random_n24_p0.9_t2,,24.0,0.9,3510.0,2.0,,,,,,24,246,0.8913043478260869,12.0,0.01778854406438768,24,24,False,24,True,2.0,8.621951565146446e-06,21,True,0.0006890050135552883,1.75,21.0,0.12704106199089438,1.1428571428571428,1.0,1.75
random,random_n24_p0.9_t0,,24.0,0.9,3490.0,0.0,,,,,,24,251,0.9094202898550725,12.0,0.017763535026460886,24,24,False,24,True,2.0,9.476905688643456e-06,21,True,0.0008079910185188055,1.75,21.0,0.1315265530720353,1.1428571428571428,1.0,1.75
random,random_n32_p0.15_t2,,32.0,0.15,4235.0,2.0,,,,,,32,59,0.11895161290322581,15.5,0.015005447901785374,31,31,False,31,True,2.0,1.0394956916570663e-05,18,True,0.0006753930356353521,1.1612903225806452,,,,,
random,random_n32_p0.15_t1,,32.0,0.15,4225.0,1.0,,,,,,32,77,0.15524193548387097,16.0,0.013989744009450078,32,32,False,32,True,2.0,1.0202988050878048e-05,21,True,0.0007902089273557067,1.3125,,,,,
random,random_n32_p0.15_t0,,32.0,0.15,4215.0,0.0,,,,,,32,78,0.15725806451612903,16.0,0.015723461052402854,32,32,False,32,True,2.0,1.1013937182724476e-05,20,True,0.0005388199351727962,1.25,,,,,
random,random_n32_p0.3_t2,,32.0,0.3,4250.0,2.0,,,,,,32,145,0.2923387096774194,16.0,0.017492503975518048,32,32,False,32,True,2.0,9.887968190014362e-06,23,True,0.0007452699355781078,1.4375,,,,,
