family,instances,avg_n,avg_m,avg_lp_value,avg_rounded_size,avg_greedy_size,avg_ilp_value,avg_integrality_gap,max_integrality_gap,avg_rounded_vs_ilp_ratio,max_rounded_vs_ilp_ratio,avg_greedy_vs_ilp_ratio,avg_rounded_vs_lp_ratio,max_rounded_vs_lp_ratio,avg_lp_runtime_sec,avg_rounding_runtime_sec,avg_greedy_runtime_sec,avg_ilp_runtime_sec,pct_lp_integral
bipartite,8,18.5,36.75,8.5,8.5,8.625,8.5,1.0,1.0,1.0,1.0,1.0104166666666667,1.0,1.0,0.0221729097829666,8.285875082947314e-06,0.0007255611271830276,0.0242258563375799,1.0
complete,8,12.5,93.25,6.25,12.5,11.5,11.5,1.7802083333333334,1.9166666666666667,1.1301233980867849,1.3333333333333333,1.0,2.0,2.0,0.019094834744464606,8.835020707920194e-06,0.0003872833913192153,0.100407320773229,0.0
cycle,8,8.875,8.875,4.4375,7.375,4.75,4.75,1.0764430014430015,1.2,1.490625,1.875,1.0,1.625,2.0,0.018659932902664877,7.56648660171777e-06,0.00020656238484662026,0.01898094086209312,0.375
grid,4,18.5,28.5,9.0,9.0,9.5,9.0,1.0,1.0,1.0,1.0,1.0833333333333333,1.0,1.0,0.01728559099137783,7.683498552069068e-06,0.000333793752361089,0.017658556025708094,1.0
near_clique,18,16.0,106.77777777777777,8.0,16.0,13.333333333333334,13.333333333333334,1.6592592592592592,1.75,1.2082740788623143,1.3333333333333333,1.0,2.0,2.0,0.015555661119934585,7.234352071666055e-06,0.000409732837902589,0.04309081335991828,0.0
random,60,20.5,123.5,9.966666666666667,19.366666666666667,14.966666666666667,11.311111111111112,1.3756437389770722,1.75,1.363536901885715,2.0,1.0185303893637228,1.8776479076479078,2.0,0.019716924900421873,8.963535462195675e-06,0.0005704739732512583,0.03490737230103049,0.1
